Time,Parameter Message,Line Number
56775.56,RADIO COM 2,1003.04
56935.91,POWER LINES,1003.04
57408.48,RADIO COM 1,1003.04
57516.18,FALP 10,1003.04
57549.92,FLAP UP,1003.04
57646.79,POWER LINES,1003.04
58155.52,IPAD REBOOT,1003.04
58223.49,PUUMP 1 ON,1003.04
58297.45,POWER LINES,1003.04
58524.69,RADIO COM 2,1003.04
59023.14,POWEER LINE,1003.04
59276.62,AUTOPILOT ON A AND OFF,1003.04
59320.68,WX RADAR STBY,1003.04
60161.14,POWER LIN ( 3 SETS),1003.07
60181.32,OUTSIDE LOOP OF RENFREW AREA,1003.07
60284.52,CABBIN PUMP OFF. AUX ANK EMPTY,1003.08
60383.46,POWER LINE,1003.08
60416.60,POWER LINE,1003.08
60442.36,RACE TRACK,1003.08
60618.92,POWER LINE,1003.08
60697.28,LAFP 10,1003.08
60722.92,FLAP UIUUP,1003.08
60875.25,RADIO COM 1,1003.08
61088.71,WX RAR ON,1003.08
61179.27,POWER LINE,1003.08
61346.67,CABIIN FAN ON,1003.08
61409.82,CABIIN FAN OFF,1003.08
61486.28,POWER LINES,1003.08
61753.18,AC OFF VENT FANS LOW,1003.08
61796.00,"AIR CONDITIONING VENTILATE, VENT FANS LOW",1003.08
61835.42,POWER LINES,1003.08
61855.22,AIR CON ON VENT FANS LOW,1003.08
61889.22,SLOW FLYING FLAPS 10,1003.08
62023.35,"NORMAL CRUISE SPEED, FLAPS UP",1003.08
62046.87,AIR CON COOL VENT FANS HIGH,1003.08
62127.58,POWER LINES,1003.08
62279.05,LIGHTS ON (TROBE NAV BEACON),1003.08
62444.25,"LIGHTS OFF((STROBE NAV BKN), PULSE ON",1003.08
62555.24,RADAR ON,1003.08
62608.79,POWER LINES,1003.08
62618.49,RADAR STANDBY,1003.08
62970.28,POWER LINE,1003.08
63058.44,RADIO CALL,1003.08
63255.67,POWER LINES,1003.08
63293.34,POWER LINES,1003.08
63512.03,RADIO CALL,1003.08
63557.85,POWER LINES,1003.08
64045.96,POWER LINES,1003.08
64085.56,SLOW FLYING FLAPS 10 SET,1003.08
64174.04,FLAPS UP NORMAL CRIUISE,1003.08
64365.57,POWER LINES,1003.08
64434.92,POWER LINES,1003.08
64672.43,STARTING RENFREW800M,1003.09
64742.83,POWER LINES,1003.09
64854.07,AIR CON OFF VENT FANS HIGH,1003.10
64945.69,AIR CONT TO VENTILATE VENT FANS HIGH,1003.10
64966.69,POWER LINES,1003.10
65024.72,AIR CON COOL VENT FANS HIGH,1003.10
65334.50,WX RADAR ON,1003.10
65386.44,WX RADAR STBY,1003.10
65749.72,POWER LINE,1003.10
65945.85,RADIO COM 1,1003.10
66034.53,WX RADR ON,1003.10
66057.69,WX RADAR STBY,1003.10
66075.45,POWER LINES,1003.10
66152.61,POWER LINES,1003.10
66319.00,CABIN FAN ONO,1003.10
66446.45,POWER LINE,1003.10
66473.86,CABIN FAN OFF,1003.10
66899.37,WX RADAR ON,1003.10
67401.28,WX RADAR ON,1003.10
67455.51,WX RADAR STBY,1003.10
67909.38,FLAPS 10,1003.10
67915.84,SLOOWING TO 100KTS,1003.10
67992.56,FLAPS UP,1003.10
68000.05,SPEEDING UP BACK TO NORMAL CRUISE,1003.10
68320.24,WX RADR ON,1003.10
68335.98,WX RADR STBY,1003.10
